datetime_0,target,number_0,number_1,number_2,number_3,number_4,number_5,number_6,number_7,number_8,number_9,number_10,number_11,number_12,number_13,number_14,number_15,number_16,number_17,number_18,number_19,number_20,number_21,number_22,number_23,number_24,number_25,number_26,number_27,number_28,number_29,number_30,number_31,number_32,number_33,number_34,number_35,number_36,number_37,number_38,line_id
2017-03-11,0.0,0.4858402847882685,0.16937558054667204,0.8668341708542715,0.9685414680648236,0.0010597018492991962,1.0,0.5730180806675939,0.9810725552050478,0.9873015873015876,0,0,0.9731255645889793,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-01-10,30.231826894446662,0.30370331013229906,0.2007727472507113,0.8693467336683418,0.9733079122974262,0.00991179774833268,1.0,0.1418636995827538,0.993690851735016,0.9873015873015876,0,0,0.9697380307136404,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2017-02-26,0.0,0.5685670261941449,0.1909934878914402,0.9296482412060304,0.9876072449952334,0.002207048212450253,1.0,1.0,1.0,1.0,1,0,0.9723915989159893,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2017-02-02,22.75675370606,0.33611391530736945,0.05106886607740773,0.9195979899497492,0.9837940896091516,0.006190889751169213,1.0,0.16689847009735745,0.9842271293375398,0.984126984126984,0,0,0.9710365853658536,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2017-06-08,22.754864882470002,0.33069443706498064,0.13238551061990464,0.6557788944723619,0.8894184938036225,0.1991920769359478,0.7272727272727273,0.12656467315716272,0.7034700315457414,0.6857142857142856,0,0,0.9781504065040649,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2017-12-04,35.725485129419994,0.6196801445194198,0.3434064165427239,0.341708542713568,0.7959961868446138,0.3999298843889186,0.3636363636363637,0.09040333796940196,0.3123028391167194,0.3015873015873014,0,0,0.9882565492321591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8
2017-09-12,34.07680946347667,0.4086924180436746,0.2691526838121023,0.4321608040201005,0.8245948522402288,0.3961691379763677,0.6363636363636364,0.07927677329624479,0.5520504731861198,0.5333333333333331,0,0,0.9835704607046072,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9
2017-05-02,35.375300899226666,0.4191063174114021,0.0792769672868479,0.6633165829145728,0.9008579599618683,0.1960926482188245,0.7272727272727273,0.1321279554937413,0.7854889589905363,0.7873015873015873,0,1,0.9760614272809396,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11
2017-12-24,0.0,0.753094947133521,0.4464316691303761,0.2688442211055277,0.7521448999046708,0.6006198857434246,0.18181818181818185,0.3963838664812239,0.2082018927444796,0.20317460317460312,0,0,0.9893857271906052,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12
2017-09-16,0.0,0.12443547101641785,0.35301666805505033,0.5577889447236181,0.8408007626310773,0.39705355079796345,0.6363636363636364,0.3755215577190542,0.5362776025236595,0.5238095238095237,0,0,0.9837962962962964,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16
2017-07-25,35.23605380784,0.5915201105148503,0.11636628325457812,0.6180904522613065,0.8741658722592945,0.39793796361955897,0.6363636363636364,0.12517385257301808,0.6277602523659306,0.6317460317460316,0,0,0.9808039747064138,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,17
2017-11-26,0.0,0.5353063067849742,0.4349512510504313,0.3768844221105528,0.7912297426120115,0.4009258447735983,0.3636363636363637,0.3630041724617524,0.31545741324921145,0.3079365079365079,0,0,0.9878048780487804,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18
2017-02-14,27.050833529899997,0.4928005950799638,0.14822911925694807,0.9321608040201006,0.990467111534795,0.0053064769295735606,1.0,0.16272600834492348,0.9905362776025238,0.9968253968253971,0,0,0.9717140921409214,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2017-08-17,23.87762082777,0.5471016417831146,0.20449886773054207,0.5125628140703519,0.8446139180171591,0.3961691379763677,0.6363636363636364,0.10292072322670376,0.6151419558359624,0.6253968253968254,0,0,0.9821025293586271,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20
2017-11-13,36.733070170163344,0.5498113809043089,0.30551514298979915,0.3492462311557791,0.7836034318398475,0.4001529795150868,0.3636363636363637,0.08623087621696801,0.2996845425867509,0.3047619047619048,0,0,0.9870709123757904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22
2017-03-03,23.095193944766674,0.35130970724191063,0.17146818330558306,0.8216080402010052,0.9656816015252622,0.0017688256431912163,1.0,0.5674547983310153,0.993690851735016,0.9968253968253971,0,0,0.9726738934056008,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2017-09-03,0.0,0.4955103342011583,0.2400228808075221,0.5804020100502513,0.8512869399428026,0.3944003123331766,0.6363636363636364,0.5563282336578581,0.5615141955835965,0.5746031746031746,0,0,0.9830623306233064,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24
2017-04-04,34.53631808227666,0.62515275490144,0.02809956443993855,0.8140703517587944,0.9609151572926596,0.1987458866836113,0.9090909090909092,0.1376912378303199,0.914826498422713,0.9142857142857144,0,0,0.9744805781391148,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
2017-04-19,23.577308201466664,0.5002390946283406,0.17711073173295835,0.7814070351758796,0.9399428026692088,0.1987458866836113,0.9090909090909092,0.1349095966620306,0.9022082018927448,0.8984126984126983,0,0,0.9753274616079494,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2017-03-24,28.221210311433328,0.5489612666702088,0.1300245977732002,0.8216080402010052,0.9599618684461392,0.1960926482188245,1.0,0.5299026425591099,0.971608832807571,0.942857142857143,0,0,0.9738595302619693,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
2017-03-07,22.471579365076664,0.4703788321555709,0.1939605904569452,0.7688442211055276,0.9513822688274548,0.0017688256431912163,1.0,0.3490959666203059,0.993690851735016,0.9968253968253971,0,0,0.97289972899729,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
2017-11-25,0.0,0.5353063067849742,0.4349512510504313,0.3768844221105528,0.7912297426120115,0.4009258447735983,0.3636363636363637,0.3630041724617524,0.31545741324921145,0.3079365079365079,0,0,0.9877484191508582,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29
2017-11-11,0.0,0.6210084480102013,0.3001914224320431,0.341708542713568,0.7816968541468065,0.4005912020843459,0.3636363636363637,0.3630041724617524,0.30283911671924296,0.311111111111111,0,0,0.9869579945799458,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30
2017-10-05,30.84177591194,0.6704744700069071,0.2077424885251,0.3718592964824122,0.7902764537654908,0.3997067892627503,0.4545454545454545,0.09179415855354657,0.4353312302839118,0.43809523809523815,0,0,0.9848690153568204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31
2017-02-17,23.258034639466672,0.4812177886403485,0.19076493774411768,0.9673366834170856,0.9933269780743564,0.0044220641079780855,1.0,0.803894297635605,0.9905362776025238,0.9968253968253971,0,0,0.9718834688346883,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
2017-06-02,27.700983131190004,0.35869507465065625,0.1070135544098029,0.6859296482412061,0.8865586272640611,0.1996302995052069,0.7272727272727273,0.4951321279554937,0.7066246056782335,0.6888888888888887,0,0,0.9778116531165312,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
2017-12-08,27.896595445706662,0.5904043355825939,0.3834133259341944,0.4070351758793971,0.8007626310772165,0.3999298843889186,0.3636363636363637,0.368567454798331,0.3217665615141955,0.3015873015873014,0,0,0.9884823848238482,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35
2017-06-17,0.0,0.43037033101322986,0.1078305321540298,0.7035175879396985,0.8922783603431839,0.3957229477240313,0.7272727272727273,0.4840055632823366,0.6656151419558363,0.6253968253968254,0,0,0.9786585365853658,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
